,latitude,longitude,Matriculas
49,-7.5114399999999995,-37.6357,595
79,-7.0918,-38.1681,302
87,-7.03943,-35.6206,2304
88,-7.05377,-35.7591,1956
89,-6.9465699999999995,-35.5332,679
97,-7.736680000000001,-36.0511,258
115,-6.892919999999999,-36.0129,151
116,-7.4297699999999995,-34.9057,2899
205,-7.55502,-37.0628,97
268,-6.784660000000001,-38.0803,414
292,-6.8437399999999995,-35.3737,932
340,-6.828130000000001,-35.7552,993
351,-6.5484800000000005,-35.7498,824
367,-6.96396,-35.6977,2253
370,-7.11702,-36.9404,80
371,-7.04789,-35.9313,413
388,-7.54473,-35.7066,1411
412,-7.072310000000001,-36.725,91
454,-6.692089999999999,-34.9381,1208
478,-6.74775,-35.6246,1073
496,-6.63484,-36.2601,275
511,-6.718160000000001,-36.0671,623
512,-7.518089999999999,-35.9913,416
515,-7.74603,-36.3209,455
567,-7.1238,-34.9293,5935
581,-6.742610000000001,-35.5166,1301
584,-6.18515,-37.5348,470
610,-6.44572,-38.5521,157
639,-7.40982,-38.2113,375
643,-7.26365,-36.2357,377
678,-6.81601,-38.6453,106
703,-6.4417599999999995,-37.9234,399
718,-7.31341,-38.5133,661
720,-7.487,-36.1309,1384
728,-6.801989999999999,-35.6187,339
771,-6.34185,-37.4943,357
773,-6.37065,-37.8253,349
817,-7.513510000000001,-34.9055,1238
820,-7.488989999999999,-36.287,325
825,-6.987310000000001,-34.8284,3246
848,-6.913530000000001,-38.676,523
858,-7.1212800000000005,-37.1563,104
859,-6.6386,-35.7778,1085
860,-7.207210000000001,-37.0604,302
884,-6.62115,-35.4581,530
895,-6.880039999999999,-38.5577,6025
897,-6.960160000000001,-37.8009,133
906,-7.1025,-35.3272,355
917,-7.88503,-36.8242,417
946,-7.22196,-35.8731,31641
1064,-6.916239999999999,-35.1673,464
1101,-7.72049,-36.492,283
1149,-7.03414,-38.3399,141
1166,-6.779539999999999,-35.8179,304
1189,-7.120080000000001,-37.6064,214
1191,-6.3406199999999995,-37.747,2219
1198,-7.416589999999999,-36.0306,499
1324,-7.5510600000000005,-38.5014,1950
1349,-6.89831,-37.606,422
1351,-7.257460000000001,-34.8999,1566
1358,-7.790780000000001,-36.6581,445
1387,-7.00712,-37.9346,909
1443,-7.62365,-36.6064,166
1475,-7.1390199999999995,-35.0857,1903
1490,-6.866860000000001,-36.3619,349
1492,-6.47647,-36.1515,2398
1493,-6.91292,-35.2502,278
1494,-6.89058,-35.5215,363
1513,-6.72325,-35.2639,304
1516,-7.53075,-38.1962,128
1527,-6.63161,-35.9101,305
1547,-7.287000000000001,-37.0925,944
1552,-7.4173800000000005,-38.2615,483
1610,-6.615660000000001,-35.6205,461
1633,-6.684989999999999,-35.418,341
1654,-7.099639999999999,-37.7163,212
1694,-7.02278,-35.8597,1677
1735,-7.344539999999999,-35.7931,787
1861,-6.39759,-36.4526,143
1874,-7.582789999999999,-35.7899,410
2000,-6.850639999999999,-35.485,4867
2047,-7.1233,-35.4222,909
2048,-7.24833,-36.4923,272
2093,-7.47957,-38.4059,654
2141,-7.1718399999999995,-38.1478,669
2175,-7.3889,-37.5079,848
2202,-7.281439999999999,-35.605,991
2283,-7.33167,-35.3317,1975
2392,-7.30202,-38.1504,2014
2394,-6.823739999999999,-35.2406,1215
2419,-7.38115,-35.638000000000005,741
2471,-6.61453,-35.289,775
2572,-6.54577,-37.8036,333
2595,-7.1150899999999995,-34.8641,53252
2603,-6.483619999999999,-38.4764,118
2619,-7.1713,-35.5686,747
2622,-7.060919999999999,-36.5793,912
2637,-6.99269,-36.7166,397
2652,-7.36176,-35.2321,1173
2653,-7.5298300000000005,-37.815,536
2680,-6.585719999999999,-37.9127,395
2687,-6.67213,-35.3706,701
2712,-7.15535,-35.8491,847
2748,-6.50603,-38.1742,222
2787,-7.37113,-36.9491,255
2792,-6.611910000000001,-35.4384,327
2802,-6.90258,-34.8748,931
2852,-7.25201,-37.4322,103
2875,-6.897189999999999,-37.5221,350
2876,-6.8337,-35.1213,3979
2882,-7.703310000000001,-38.1523,804
2935,-6.76535,-35.0087,1167
2948,-7.059419999999999,-35.318000000000005,2155
2972,-6.82748,-38.3528,260
2989,-7.18995,-35.7848,932
2997,-6.59673,-35.0531,553
3008,-7.124860000000001,-35.7669,548
3012,-6.54018,-37.7279,107
3024,-7.261880000000001,-37.351,310
3108,-7.28517,-35.4832,1230
3127,-7.088480000000001,-35.9592,284
3153,-7.20402,-38.5838,249
3160,-7.88363,-37.1184,1564
3210,-7.02525,-35.46,1365
3245,-7.63514,-35.5586,521
3254,-6.9114,-38.321999999999996,457
3323,-6.45056,-36.2057,772
3355,-7.47232,-38.0382,521
3360,-6.67122,-36.422,220
3435,-7.22118,-37.7406,634
3448,-6.9843399999999995,-36.241,219
3486,-7.616039999999999,-37.1519,129
3603,-7.30975,-36.6522,316
3633,-7.13467,-37.0433,67
3647,-7.01743,-37.2747,5582
3667,-6.59138,-37.6185,446
3690,-7.421689999999999,-38.0689,365
3697,-6.749969999999999,-36.4758,427
3705,-7.39107,-35.1065,1252
3725,-6.63323,-35.2966,332
3768,-7.192819999999999,-37.9289,799
3774,-6.50845,-36.3497,846
3782,-7.26403,-35.2523,1080
3787,-6.86827,-35.613,779
3788,-6.84277,-35.531,291
3863,-6.77922,-35.4906,896
3868,-7.4664,-34.8151,986
3888,-7.06658,-36.0668,1212
3890,-6.39876,-38.4909,154
3893,-6.564010000000001,-38.5111,242
3903,-6.76606,-37.8003,2449
4006,-7.6882600000000005,-37.0801,513
4044,-7.73175,-37.9886,1814
4055,-7.154789999999999,-35.9543,1972
4070,-7.350289999999999,-35.9031,2967
4089,-7.0224,-37.1458,69
4125,-6.94992,-35.8011,1272
4138,-6.54269,-35.661,178
4141,-7.25347,-35.6693,428
4144,-7.14173,-35.2914,438
4151,-7.68023,-36.157,167
4152,-6.44067,-37.6483,292
4244,-6.8038300000000005,-35.0776,2648
4309,-7.10098,-36.8458,140
4312,-7.35337,-35.4305,936
4361,-7.7389,-35.8764,369
4367,-6.5237,-38.0617,479
4401,-6.7176,-38.6427,549
4406,-7.621,-38.554,197
4422,-6.86092,-36.9178,1550
4452,-7.11724,-34.9753,10402
4480,-7.0796399999999995,-37.4435,234
4501,-7.54705,-38.3236,275
4521,-7.38162,-37.9819,628
4535,-7.220160000000001,-36.6213,97
4585,-6.885960000000001,-37.7243,209
4586,-6.48529,-37.4488,1683
4614,-6.80313,-37.9488,219
4621,-7.6327300000000005,-36.4374,118
4639,-6.60773,-38.0968,142
4709,-7.38168,-36.5345,416
4724,-6.72195,-38.4468,1560
4728,-8.07703,-36.8547,183
4746,-6.93646,-38.1622,375
4755,-7.246360000000001,-38.2989,570
4756,-6.839739999999999,-37.3214,314
4758,-7.1187,-38.501999999999995,1193
4759,-7.736330000000001,-38.0894,241
4765,-7.1607,-37.3036,119
4766,-6.21054,-37.3601,103
4789,-6.76295,-36.7972,138
4797,-7.38775,-36.8085,387
4800,-7.2523800000000005,-35.3725,316
4820,-6.92386,-37.0954,490
4836,-7.24764,-35.2016,900
4893,-7.110339999999999,-35.8678,962
4905,-8.15289,-37.0138,168
4922,-6.854260000000001,-36.4122,1170
4926,-7.09359,-35.228,3828
4996,-7.480339999999999,-36.666,1222
4998,-6.68527,-35.4379,353
5007,-7.209569999999999,-38.3647,155
5012,-7.18622,-35.6842,1013
5021,-6.815689999999999,-35.6282,674
5034,-6.75127,-35.4372,614
5074,-7.14429,-35.2357,392
5079,-6.75161,-35.6636,2158
5080,-7.0582899999999995,-36.3668,653
5090,-6.77067,-36.2538,238
5092,-6.75148,-38.2311,7304
5101,-7.66206,-36.884,1208
5121,-6.48759,-35.6367,644
5155,-7.206289999999999,-36.8245,1074
5187,-7.62697,-37.8712,659
5189,-7.2210399999999995,-37.2525,1028
5201,-6.93855,-36.6273,189
5301,-6.5713,-38.5986,422
5365,-6.51504,-38.4128,1149
5372,-7.69199,-35.6582,465
5446,-6.761889999999999,-36.9913,105
5501,-6.50684,-38.2567,304
5531,-6.7303,-37.5704,154
5566,-8.07901,-37.1057,104
